PSC;NAZEV;PLATI_OD;PLATI_DO
100 00;Praha 10;01.07.2011 00:00:00;
101 00;Praha 101;01.07.2011 00:00:00;
102 00;Praha 102;01.07.2011 00:00:00;
103 00;Praha 113;01.07.2011 00:00:00;
104 00;Praha 114;01.07.2011 00:00:00;
106 00;Praha 106;01.07.2011 00:00:00;
107 00;Praha 112;01.07.2011 00:00:00;
108 00;Praha 108;01.07.2011 00:00:00;
109 00;Praha 111;01.07.2011 00:00:00;
110 00;Praha 1;01.07.2011 00:00:00;
118 00;Praha 011;01.07.2011 00:00:00;
119 00;Praha 012;01.07.2011 00:00:00;
120 00;Praha 2;01.07.2011 00:00:00;
128 00;Praha 28;01.07.2011 00:00:00;
130 00;Praha 3;01.07.2011 00:00:00;
140 00;Praha 4;01.07.2011 00:00:00;
141 00;Praha 41;01.07.2011 00:00:00;
142 00;Praha 411;01.07.2011 00:00:00;
143 00;Praha 412;01.07.2011 00:00:00;
147 00;Praha 47;01.07.2011 00:00:00;
148 00;Praha 414;01.07.2011 00:00:00;
149 00;Praha 415;01.07.2011 00:00:00;
150 00;Praha 5;01.07.2011 00:00:00;
152 00;Praha 52;01.07.2011 00:00:00;
153 00;Praha 512;01.07.2011 00:00:00;
154 00;Praha 514;01.07.2011 00:00:00;
155 00;Praha 515;01.07.2011 00:00:00;
155 11;Praha 513;01.07.2011 00:00:00;
155 21;Praha 517;01.07.2011 00:00:00;
155 31;Praha 511;01.07.2011 00:00:00;
156 00;Praha 516;01.07.2011 00:00:00;
158 00;Praha 58;01.07.2011 00:00:00;
159 00;Praha 59;01.07.2011 00:00:00;
160 00;Praha 6;01.07.2011 00:00:00;
160 05;Praha 65;01.07.2011 00:00:00;
161 00;Praha 614;01.07.2011 00:00:00;
162 00;Praha 616;01.07.2011 00:00:00;
163 00;Praha 618;01.07.2011 00:00:00;
164 00;Praha 619;01.07.2011 00:00:00;
165 00;Praha 620;01.07.2011 00:00:00;
169 00;Praha 69;01.07.2011 00:00:00;
170 00;Praha 7;01.07.2011 00:00:00;
171 00;Praha 71;01.07.2011 00:00:00;
180 00;Praha 8;01.07.2011 00:00:00;
180 09;Praha 89;01.07.2011 00:00:00;
181 00;Praha 81;01.07.2011 00:00:00;
182 00;Praha 82;01.07.2011 00:00:00;
184 00;Praha 84;01.07.2011 00:00:00;
186 00;Praha 86;01.07.2011 00:00:00;
190 00;Praha 9;01.07.2011 00:00:00;
190 11;Praha 911;01.07.2011 00:00:00;
190 12;Praha 912;01.07.2011 00:00:00;
190 14;Praha 914;01.07.2011 00:00:00;
190 15;Praha 915;01.07.2011 00:00:00;
190 16;Praha 916;01.07.2011 00:00:00;
190 17;Praha 917;01.07.2011 00:00:00;
193 00;Praha 913;01.07.2011 00:00:00;
196 00;Praha 96;01.07.2011 00:00:00;
197 00;Praha 97;01.07.2011 00:00:00;
198 00;Praha 98;01.07.2011 00:00:00;
199 00;Praha 99;01.07.2011 00:00:00;
250 01;Brandıs nad Labem-Stará Boleslav 1;15.08.2014 00:00:00;
250 63;Mratín;01.07.2011 00:00:00;
250 64;Mìšice u Prahy;01.07.2011 00:00:00;
250 65;Líbeznice;01.07.2011 00:00:00;
250 66;Zdiby;01.07.2011 00:00:00;
250 67;Klecany;01.07.2011 00:00:00;
